0,Easter Stuffing Baskets,2019-04-15,144406
1,Easter Stuffing Baskets,2019-04-17,144406
2,Easter Party Rec Event ,2019-04-18,
3,Noches de Ciencias at NBHS,2019-05-01,
4,NHS Volunteering,2019-05-02,144406
5,Special Olympics ,2019-05-04,144406
6,Teacher Appreciation Letter ,2019-05-07,454528
7,Senior Awards ,2019-05-29,438596
8,Fashion Show ,2019-05-30,144406
9,Hudson Hills Senior Living Center,2019-05-31,
10,Helping out in Graduation ,2019-06-25,
11,Volunteer at Library ,2019-07-01,144406
12,Volunteer Summer Music Program ,2019-07-01,
13,Food Packing at Chruch ,2019-07-18,438596
14,Volunteering At Liberty Science Fair ,2019-08-01,287154
15,Volunteering at Library,2019-08-08,287154
16,Food Packing at Chruch ,2019-08-13,438596
17,Stuffing Envelopes at HS,2019-08-19,287154
18,Volunteering at NB Pool ,2019-08-23,234476
19,Helping out in Guidance ,2019-09-01,
20,Meet the Teachers Night ,2019-09-12,144406
21,Helping Out at Guidance ,2019-09-12,454528
22,RTC,2019-09-14,438596
23,RTC,2019-09-15,454528
24,Helping out at Guidance ,2019-09-16,454528
25,Helping out at Guidance ,2019-09-17,454528
26,Helping out at Guidance ,2019-09-18,287154
27,Helping out at Guidance ,2019-09-19,438596
28,Helping out in Guidance ,2019-09-20,234476
29,Club Fair ,2019-09-20,234476
30,Helping out at Guidance ,2019-09-20,144406
31,Helping out in Guidance ,2019-09-23,454528
32,Helping out in Guidance ,2019-09-24,454528
33,Cromebook Committe ,2019-09-24,438596
34,Helping out in Guidance ,2019-09-25,287154
35,Helping out in Guidance ,2019-09-26,144406
36,Helping out in Guidance ,2019-09-29,144406
37,Helping out in Guidance ,2019-09-30,144406
38,Helping out in Guidance ,2019-10-01,
39,New Jersey District Project Boxes ,2019-10-01,234476
40,Volunteering at Palisades Hospital,2019-10-01,438596
41,Volunteering at Paisades Medical Center ,2019-10-06,454528
42,Chromebook Committee,2019-10-07,287154
43,College Fair at NBHS,2019-10-10,234476
44,Recycling after school ,2019-10-10,144406
45,Volunteering at Liberty Science Center ,2019-10-12,
46,Voluteering at Palisades Medical Center ,2019-10-13,287154
47,Chromebook Committee,2019-10-15,234476
48,Paisades Medical Center ,2019-10-20,144406
49,Recycling after school ,2019-10-22,
50,Filling Baskets at Rec ,2019-10-25,454528
51,Tutoring in Guidance ,2019-10-25,234476
52,Liberty Science Center ,2019-10-26,438596
53,Palisades Medical Center ,2019-10-27,438596
54,Haunted Hallways- Room,2019-10-29,287154
55,Haunted Hallways,2019-10-29,287154
56,Haunted Hallways -Room,2019-10-29,
57,Haunted Hallways - room,2019-10-29,144406
58,Haunted Hallways- room ,2019-10-29,
59,Haunted Hallways - Room,2019-10-29,234476
60,Tutoring in Guidance ,2019-10-29,454528
